description,keyword,qty,price,supplier,barcode,"batch code",brand,category,safety
"Red Widget",device,346,9.94,SupplierD,264806445825,B5322,BrandX,Household,Critical
"Yellow Device",gadget,259,88.94,SupplierA,342299750635,B9017,BrandX,Household,Medium
"Red Widget",device,465,96.82,SupplierB,802026605277,B8215,BrandX,Automotive,Medium
"Purple Item",widget,327,36.52,SupplierB,811517864223,B2168,BrandZ,Automotive,High
"Purple Item",device,47,59.06,SupplierA,160949238087,B4375,BrandZ,Automotive,Critical
"Yellow Device",tool,253,66.81,SupplierC,969627006101,B8360,BrandX,Electronics,Low
"Purple Item",tool,473,56.21,SupplierD,630077841581,B7163,BrandX,Toys,High
"Blue Gadget",device,120,61.33,SupplierB,893678800254,B6449,BrandX,Toys,High
"Yellow Device",device,53,93.70,SupplierD,451958252132,B1858,BrandX,Electronics,High
"Red Widget",device,445,66.57,SupplierA,129385748623,B7593,BrandY,Outdoor,Medium
"Blue Gadget",device,281,12.84,SupplierC,981752189042,B4987,BrandZ,Outdoor,Critical
"Green Tool",item,271,33.42,SupplierB,302586000886,B4167,BrandX,Household,Medium
"Purple Item",tool,237,18.44,SupplierD,480499285490,B5146,BrandX,Toys,Low
"Green Tool",gadget,9,14.01,SupplierB,189506105988,B5815,BrandZ,Electronics,Low
"Green Tool",widget,254,98.77,SupplierB,722320350141,B9716,BrandY,Outdoor,High
"Red Widget",tool,349,91.86,SupplierD,473704613739,B8542,BrandY,Electronics,Low
"Blue Gadget",tool,76,30.24,SupplierA,893793305683,B3092,BrandX,Toys,Critical
"Red Widget",widget,480,88.25,SupplierB,125157701385,B5255,BrandZ,Electronics,Medium
"Red Widget",item,239,51.41,SupplierA,148377466563,B9620,BrandZ,Automotive,Medium
"Purple Item",widget,236,84.88,SupplierB,824182685273,B4590,BrandX,Automotive,High
"Blue Gadget",device,231,51.07,SupplierB,848512686649,B6497,BrandZ,Outdoor,High
"Red Widget",device,424,62.18,SupplierC,570233637119,B2721,BrandX,Automotive,Medium
"Purple Item",tool,153,74.98,SupplierD,381018766403,B8225,BrandX,Household,Critical
"Red Widget",device,50,69.41,SupplierC,335864707717,B2115,BrandZ,Toys,High
"Red Widget",widget,413,77.49,SupplierD,506353912753,B2998,BrandZ,Household,Medium
"Red Widget",tool,338,79.01,SupplierC,203455227139,B7416,BrandY,Automotive,Medium
"Blue Gadget",tool,174,30.35,SupplierC,788665389013,B5976,BrandX,Toys,Critical
"Red Widget",item,402,50.50,SupplierC,762206196221,B1649,BrandX,Electronics,Low
"Blue Gadget",widget,475,30.32,SupplierC,751370464657,B2109,BrandX,Household,High
"Green Tool",tool,334,61.79,SupplierD,372538406150,B6918,BrandZ,Electronics,Low
"Blue Gadget",device,345,75.92,SupplierA,594057557073,B3646,BrandX,Outdoor,Critical
"Red Widget",device,481,70.43,SupplierC,409695779106,B7068,BrandX,Toys,Low
"Blue Gadget",widget,131,79.73,SupplierB,647498794257,B6631,BrandX,Household,Critical
"Green Tool",tool,81,34.95,SupplierA,920676071205,B8953,BrandY,Outdoor,High
"Yellow Device",device,322,86.76,SupplierB,909099046612,B2480,BrandX,Outdoor,Medium
"Purple Item",widget,293,40.60,SupplierA,728543752863,B2172,BrandX,Household,Medium
"Green Tool",gadget,87,78.28,SupplierD,627596982920,B7917,BrandY,Electronics,High
"Yellow Device",gadget,308,10.02,SupplierC,549811779342,B2069,BrandZ,Electronics,Medium
"Yellow Device",device,226,57.78,SupplierD,492950622670,B6613,BrandX,Toys,Medium
"Blue Gadget",item,273,85.92,SupplierC,965837099225,B2460,BrandX,Electronics,Medium
"Red Widget",tool,326,14.56,SupplierD,692601844470,B4218,BrandX,Household,Critical
"Green Tool",tool,282,18.86,SupplierC,125926167224,B4165,BrandZ,Toys,Medium
"Purple Item",item,210,93.34,SupplierC,482049951653,B7645,BrandY,Outdoor,Low
"Purple Item",device,242,32.51,SupplierD,852377034233,B5133,BrandY,Household,Low
"Red Widget",item,145,72.24,SupplierC,392820530877,B2877,BrandX,Toys,High
"Purple Item",item,421,42.90,SupplierA,911458416395,B1691,BrandY,Automotive,Critical
"Red Widget",device,343,98.93,SupplierB,178615742735,B3142,BrandX,Household,Critical
"Yellow Device",item,113,89.50,SupplierA,925186487276,B6174,BrandY,Household,Medium
"Blue Gadget",device,10,96.99,SupplierC,988834781955,B8250,BrandX,Toys,Critical
"Red Widget",device,90,86.30,SupplierD,322363919625,B3726,BrandZ,Toys,High
"Green Tool",tool,163,73.21,SupplierA,960117073232,B5580,BrandX,Automotive,High
